timestamp,job_id,task_id,machine_id,setup_time,processing_time
2020-01-01 00:00:00,1,1,91,1,20
2020-01-01 00:21:00,1,2,144,8,93
2020-01-01 02:02:00,1,3,157,7,60
2020-01-01 03:09:00,1,4,144,8,93
2020-01-01 04:50:00,1,5,139,6,83
2020-01-01 06:19:00,1,6,104,7,76
2020-01-01 07:42:00,1,7,72,9,71
2020-01-01 09:02:00,1,8,98,6,52
2020-01-01 10:00:00,1,9,41,5,41
2020-01-01 10:46:00,1,10,80,4,55
2020-01-01 11:45:00,1,11,164,4,19
2020-01-01 12:08:00,1,12,101,1,71
2020-01-01 13:20:00,1,13,163,3,18
2020-01-01 13:41:00,1,14,63,6,62
2020-01-01 14:49:00,1,15,195,9,59
2020-01-01 15:57:00,1,16,166,6,54
2020-01-01 16:57:00,1,17,26,1,99
2020-01-01 18:37:00,1,18,113,6,42
2020-01-01 19:25:00,1,19,29,7,93
2020-01-01 21:05:00,1,20,49,4,36
2020-01-01 21:45:00,1,21,63,6,62
2020-01-01 22:53:00,1,22,26,1,99
2020-01-02 00:33:00,1,23,9,4,91
2020-01-02 02:08:00,1,24,101,1,71
2020-01-02 03:20:00,1,25,95,5,31
2020-01-02 03:56:00,1,26,109,6,93
2020-01-02 05:35:00,1,27,119,9,97
2020-01-02 07:21:00,1,28,67,9,60
2020-01-02 08:30:00,1,29,79,3,36
2020-01-02 09:09:00,1,30,0,8,92
2020-01-02 10:49:00,1,31,13,9,83
2020-01-02 12:21:00,1,32,65,8,99
2020-01-02 14:08:00,1,33,58,1,79
2020-01-02 15:28:00,1,34,41,5,41
2020-01-02 16:14:00,1,35,108,1,70
2020-01-02 17:25:00,1,36,51,5,74
2020-01-02 18:44:00,1,37,20,3,40
2020-01-02 19:27:00,1,38,95,5,31
2020-01-02 20:03:00,1,39,183,4,46
2020-01-02 20:53:00,1,40,95,5,31
2020-01-02 21:29:00,1,41,143,9,25
2020-01-02 22:03:00,1,42,24,2,50
2020-01-02 22:55:00,1,43,144,8,93
2020-01-03 00:36:00,1,44,173,4,45
2020-01-01 00:00:00,2,1,22,8,54
2020-01-01 01:02:00,2,2,117,2,17
2020-01-01 01:21:00,2,3,77,9,44
2020-01-01 02:14:00,2,4,92,1,48
2020-01-01 03:03:00,2,5,99,8,81
2020-01-01 04:32:00,2,6,27,3,37
2020-01-01 05:12:00,2,7,134,9,86
2020-01-01 06:47:00,2,8,118,9,63
2020-01-01 00:00:00,3,1,117,8,92
2020-01-01 01:40:00,3,2,187,5,73
2020-01-01 02:58:00,3,3,24,7,16
2020-01-01 03:21:00,3,4,10,7,70
2020-01-01 04:38:00,3,5,48,9,15
2020-01-01 05:02:00,3,6,156,9,60
2020-01-01 06:11:00,3,7,116,9,63
2020-01-01 07:23:00,3,8,112,5,24
2020-01-01 07:52:00,3,9,127,7,53
2020-01-01 08:52:00,3,10,16,8,77
2020-01-01 10:17:00,3,11,108,1,38
2020-01-01 10:56:00,3,12,65,4,31
2020-01-01 11:31:00,3,13,160,2,58
2020-01-01 12:31:00,3,14,18,3,83
2020-01-01 13:57:00,3,15,33,6,44
2020-01-01 14:47:00,3,16,162,5,44
2020-01-01 15:36:00,3,17,10,7,70
2020-01-01 16:53:00,3,18,173,8,58
2020-01-01 17:59:00,3,19,101,6,77
2020-01-01 19:22:00,3,20,73,4,27
2020-01-01 19:53:00,3,21,179,2,27
2020-01-01 20:22:00,3,22,154,5,61
2020-01-01 21:28:00,3,23,34,3,87
2020-01-01 22:58:00,3,24,159,5,55
2020-01-01 23:58:00,3,25,121,3,42
2020-01-01 00:00:00,4,1,23,6,80
2020-01-01 01:26:00,4,2,76,7,95
2020-01-01 03:08:00,4,3,58,6,46
2020-01-01 04:00:00,4,4,177,4,41
2020-01-01 04:45:00,4,5,66,7,83
2020-01-01 06:15:00,4,6,161,9,78
2020-01-01 07:42:00,4,7,80,2,35
2020-01-01 08:19:00,4,8,9,9,40
2020-01-01 09:08:00,4,9,185,1,26
2020-01-01 09:35:00,4,10,87,5,28
2020-01-01 10:08:00,4,11,59,6,77
2020-01-01 11:31:00,4,12,76,7,95
2020-01-01 13:13:00,4,13,166,8,78
